n_estimators,max_samples,max_features,contamination,val_ap,val_auc,val_recall_5pct
300,0.8,1.0,0.05,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.8,1.0,0.08,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.8,1.0,0.005,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.8,1.0,0.01,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.8,1.0,0.02,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.8,1.0,0.03,0.3038774193273919,0.8714475602093947,0.5443037974683544
300,0.7,0.7,0.02,0.3033945359839822,0.8836981684762009,0.5569620253164557
300,0.7,0.7,0.03,0.3033945359839822,0.8836981684762009,0.5569620253164557
300,0.7,0.7,0.05,0.3033945359839822,0.8836981684762009,0.5569620253164557
300,0.7,0.7,0.08,0.3033945359839822,0.8836981684762009,0.5569620253164557
300,0.7,0.7,0.01,0.3033945359839822,0.8836981684762009,0.5569620253164557
300,0.7,0.7,0.005,0.3033945359839822,0.8836981684762009,0.5569620253164557
800,auto,0.8,0.005,0.10352124236954342,0.8954865736200788,0.5949367088607594
800,auto,0.8,0.01,0.10352124236954342,0.8954865736200788,0.5949367088607594
800,auto,0.8,0.05,0.10352124236954342,0.8954865736200788,0.5949367088607594
800,auto,0.8,0.08,0.10352124236954342,0.8954865736200788,0.5949367088607594
800,auto,0.8,0.02,0.10352124236954342,0.8954865736200788,0.5949367088607594
800,auto,0.8,0.03,0.10352124236954342,0.8954865736200788,0.5949367088607594
300,auto,0.7,0.05,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.7,0.08,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.7,0.02,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.7,0.03,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.7,0.005,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.7,0.01,0.10259494876192046,0.9016123462817364,0.5949367088607594
300,auto,0.6,0.005,0.10134652278591501,0.8917287427559675,0.5569620253164557
300,auto,0.6,0.01,0.10134652278591501,0.8917287427559675,0.5569620253164557
300,auto,0.6,0.08,0.10134652278591501,0.8917287427559675,0.5569620253164557
300,auto,0.6,0.05,0.10134652278591501,0.8917287427559675,0.5569620253164557
300,auto,0.6,0.03,0.10134652278591501,0.8917287427559675,0.5569620253164557
300,auto,0.6,0.02,0.10134652278591501,0.8917287427559675,0.5569620253164557
500,auto,0.7,0.05,0.09477063128246783,0.9005766645754688,0.6075949367088608
500,auto,0.7,0.08,0.09477063128246783,0.9005766645754688,0.6075949367088608
500,auto,0.7,0.02,0.09477063128246783,0.9005766645754688,0.6075949367088608
500,auto,0.7,0.03,0.09477063128246783,0.9005766645754688,0.6075949367088608
500,auto,0.7,0.01,0.09477063128246783,0.9005766645754688,0.6075949367088608
500,auto,0.7,0.005,0.09477063128246783,0.9005766645754688,0.6075949367088608
800,auto,0.7,0.08,0.094105128268546,0.9007975756474006,0.6075949367088608
800,auto,0.7,0.05,0.094105128268546,0.9007975756474006,0.6075949367088608
800,auto,0.7,0.005,0.094105128268546,0.9007975756474006,0.6075949367088608
800,auto,0.7,0.01,0.094105128268546,0.9007975756474006,0.6075949367088608
800,auto,0.7,0.02,0.094105128268546,0.9007975756474006,0.6075949367088608
800,auto,0.7,0.03,0.094105128268546,0.9007975756474006,0.6075949367088608
500,auto,0.8,0.005,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.8,0.01,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.8,0.02,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.8,0.03,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.8,0.05,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.8,0.08,0.09375760428913792,0.8952420018713019,0.5949367088607594
500,auto,0.6,0.01,0.09069983642904121,0.8957983791733568,0.5569620253164557
500,auto,0.6,0.005,0.09069983642904121,0.8957983791733568,0.5569620253164557
500,auto,0.6,0.05,0.09069983642904121,0.8957983791733568,0.5569620253164557
500,auto,0.6,0.08,0.09069983642904121,0.8957983791733568,0.5569620253164557
500,auto,0.6,0.02,0.09069983642904121,0.8957983791733568,0.5569620253164557
500,auto,0.6,0.03,0.09069983642904121,0.8957983791733568,0.5569620253164557
